"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"873","Just watched #LALALAND 
I don't see what all the fuss was about!
Don't think it deserve the Oscar for Best Movie.
#LaLaLandMovie",FALSE,0,NA,2017-02-05 22:26:30,FALSE,NA,"828369232916275203",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justatfa",0,FALSE,FALSE,NA,NA
"874","#LaLaLand is a must see! check out my thoughts and the official trailer!! #lovefilm #romance https://t.co/dgZa15eito",FALSE,0,NA,2017-02-05 22:25:57,FALSE,NA,"828369094915284992",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DeluxeWedBlog",0,FALSE,FALSE,NA,NA
"875","RT @LaLaLand: Watch #LALALAND director Damien Chazelle work with cameraman Ari Robbins to execute a precision whip pan in this behind-the-s‚Ä¶",FALSE,0,NA,2017-02-05 22:24:23,FALSE,NA,"828368702856949760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lely",1351,TRUE,FALSE,NA,NA
"876","If you loved #LaLaLand, listen to this &amp; go watch the Umbrellas of Cherbourg! #DamienChazelle was heavily influence‚Ä¶ https://t.co/h8HDbdQqBG",FALSE,2,NA,2017-02-05 22:24:12,TRUE,NA,"828368656761495552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheJordanRoss",1,FALSE,FALSE,NA,NA
"877","RT @LaLaLand: Congratulations to #LALALAND director Damien Chazelle on his Directors Guild of America Award! Ì†ºÌæâ https://t.co/fZWtBCf7aY",FALSE,0,NA,2017-02-05 22:24:06,FALSE,NA,"828368630484172802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyleighMcDonal1",551,TRUE,FALSE,NA,NA
"878","RT @partyfood: OK, LaLa Land was good but IMO over-rated. As film-musicals go (again IMO) London Road (2015) was far superior. #lalaland",FALSE,0,NA,2017-02-05 22:23:33,FALSE,NA,"828368493099806722",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","erazpoho1989",1,TRUE,FALSE,NA,NA
"879","Look, a bench danching scene. Oh, is this an homage too? #LALALAND 
She &amp; Him - Why Do You Let Me Stay Here? https://t.co/V6400s6zI8",FALSE,0,NA,2017-02-05 22:23:04,FALSE,NA,"828368372421259264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","irdop",0,FALSE,FALSE,NA,NA
"880","RT @Collider: Go behind the scenes of #LaLaLand's crazy opening sequence Ì†ΩÌ±Ähttps://t.co/SOPWC1z0u9 https://t.co/6HsYolfvLm",FALSE,0,NA,2017-02-05 22:21:55,FALSE,NA,"828368080728358913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gasmeng1",266,TRUE,FALSE,NA,NA
"881","RT @Variety: #DGAAwards: Damien Chazelle wins top film award for #LaLaLand https://t.co/T70GJxYeLo https://t.co/WoHunvoxKS",FALSE,0,NA,2017-02-05 22:21:46,FALSE,NA,"828368043839348736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DendyDirect",89,TRUE,FALSE,NA,NA
"882","RT @LaLaLand: Congratulations to #LALALAND director Damien Chazelle on his Directors Guild of America Award! Ì†ºÌæâ https://t.co/fZWtBCf7aY",FALSE,0,NA,2017-02-05 22:20:43,FALSE,NA,"828367778776166400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheGoatfather79",551,TRUE,FALSE,NA,NA
"883","That now our dreams may finally come true!

#LaLaLand",FALSE,0,NA,2017-02-05 22:20:28,FALSE,NA,"828367715110891520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hgermanjimenez",0,FALSE,FALSE,NA,NA
"884","Well, I finally saw #LaLaLand and yes, yes, I loved it!",FALSE,0,NA,2017-02-05 22:20:19,FALSE,NA,"828367676942618624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KallenHatch",0,FALSE,FALSE,NA,NA
"885","¬´Here's to the ones who dream, foolish as they may seem¬ª #LALALAND Ì†ΩÌ≤ïÌ†ΩÌ≤ï‚ú® @LaLaLand",FALSE,0,NA,2017-02-05 22:19:57,FALSE,NA,"828367585355915270",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saramarini1995",0,FALSE,FALSE,NA,NA
"886","City of stars, are you shining just for me?

#LaLaLand",FALSE,0,NA,2017-02-05 22:19:39,FALSE,NA,"828367510160424960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hgermanjimenez",0,FALSE,FALSE,NA,NA
"887","RT @LaLaLand: Watch #LALALAND director Damien Chazelle work with cameraman Ari Robbins to execute a precision whip pan in this behind-the-s‚Ä¶",FALSE,0,NA,2017-02-05 22:19:22,FALSE,NA,"828367437267685378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NewStarPictures",1351,TRUE,FALSE,NA,NA
"888","The harmony between Ryan and Emma is amazing.This film is very natural,warm&amp;full of love.deserves oscar #LALALAND #ryangosling #EmmaStone",FALSE,1,NA,2017-02-05 22:19:14,FALSE,NA,"828367403734155264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baileyscream",0,FALSE,FALSE,NA,NA
"889","Peli con la tia Ross! Ì†ΩÌ∏úÌ†ΩÌ∏ÅÌ†ΩÌ∏äÌ†ΩÌ∏ç
#Lalaland #Wiii @ Dot Baires Shopping https://t.co/X9eV8orhTm",FALSE,0,NA,2017-02-05 22:18:58,FALSE,NA,"828367339766824961",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Anle_Believe",0,FALSE,FALSE,"-58.48818621","-34.54619181"
"890","RT @BrendanMonroe: Reflections on fruit, bats, politics, and paradise in #LaDigue #Seychelles #Travel #GrandAnse #BestBeaches #LALALAND htt‚Ä¶",FALSE,0,NA,2017-02-05 22:18:16,FALSE,NA,"828367163954184192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Best_Presents_",1,TRUE,FALSE,NA,NA
"891","The closing scene is brilliant, and the final minute of this track takes you straight back to it. #nowplaying‚Ä¶ https://t.co/QMiz9srzaW",FALSE,1,NA,2017-02-05 22:17:54,TRUE,NA,"828367071654342661",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrDarrenBuckley",0,FALSE,FALSE,NA,NA
"892","FINALLY seen #LALALAND. Smiled pretty much the whole way through. Absolutely beautiful! Ì†ΩÌ∏ç",FALSE,1,NA,2017-02-05 22:17:53,FALSE,NA,"828367065685716992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Catmillsom",0,FALSE,FALSE,NA,NA
"893","#movies Not everybody's full of praise for  #LALALAND ...

'It's fucking shit!' said Tinky Winky.",FALSE,0,NA,2017-02-05 22:17:23,FALSE,NA,"828366938661408768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im_buchanan",0,FALSE,FALSE,NA,NA
"894","RT @patrickzfilms: Here's a side by side of one of our #LaLaLand shots! How'd we do?! https://t.co/GBfXVlbBmP",FALSE,0,NA,2017-02-05 22:16:50,FALSE,NA,"828366800056414210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellaaj__",32,TRUE,FALSE,NA,NA
"895","Should you be singin' for #lalaland? #wrightatthemovies #moviereview https://t.co/Ww9F6He8v1",FALSE,0,NA,2017-02-05 22:16:38,FALSE,NA,"828366752698490882",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wrightatmovies",0,FALSE,FALSE,NA,NA
"896","RT @PerezHilton: #Split, #Rings, #TheSpaceBetweenUs, #LaLaLand, #ADogsPurpose, and SO many more box office results right HERE! https://t.co‚Ä¶",FALSE,0,NA,2017-02-05 22:16:05,FALSE,NA,"828366613053325313",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","sneakerpimp",5,TRUE,FALSE,NA,NA
